"Ward_No","Ward Name","Lakes #","Lake area (sq m)","Lake name"
"1","Kempegowda Ward","2","1441486","Shivanahalli,Yelahanka"
"2","Chowdeswari Ward","2","416208","Puttenahalli,Harohalli"
"3","Atturu","2","307428","Chikkabettahalli,Attur"
"4","Yelahanka Satellite Town","2","172663","Shivanahalli,Allalasandra"
"5","Jakkuru","10","1283652","Venkateshapura,Chokkanahalli,Jakkuru - Sampigehalli,Agrahara,Thirumalenahalli,Bell ahalli,Srinivasapura,Kogilu,Kattigenahalli,Pal anahalli"
"6","Thanisandra","1","444273","Rachenahalli"
"7","Byatarayanapura","2","308438","Nagavara,Amruthalli"
"8","Kodigehalli","1","545611","Hebbal"
"9","Vidyaranyapura","2","74162","Narasipura,Narasipura (Tindlu)"
"10","Dodda Bommasandra","1","446760","Dodda Bommasandra"
"11","Kuvempu Nagar","1","238723","Shingapura"
"12","Shettihalli","2","238123","Kammagondanahalli,Abbigere"
"13","Mallasandra","1","46615","Mallasandra - Guddekere"
"14","Bagalakunte","0","0",""
"15","T Dasarahalli","0","0",""
"16","Jalahalli","0","0",""
"17","J P Park","1","302001","JP Park (Matthikere)"
"18","Radhakrishna Temple Ward","1","80474","Gedlahalli"
"19","Sanjaya Nagar","0","0",""
"20","Ganga Nagar","0","0",""
"21","Hebbala","0","0",""
"22","Vishwanath Nagenahalli","0","0",""
"23","Nagavara","0","0",""
"24","HBR Layout","1","91057","Kacharakanahalli"
"25","Horamavu","5","972443","Horamavu,Chellakere,Horamavu Agara,Kallakere,Nagaresewara Nagenhalli"
"26","Ramamurthy Nagar","0","0",""
"27","Banasavadi","1","79263","Channasandra - 2"
"28","Kammanahalli","2","79942","Lingarajapura,Byataguntepalya"
"29","Kacharkanahalli","0","0",""
"30","Kadugondanahalli","0","0",""
"31","Kushal Nagar","0","0",""
"32","Kaval Bairasandra","0","0",""
"33","Manorayana Palya","0","0",""
"34","Gangenahalli","0","0",""
"35","Aramane Nagara","1","138784","Sankey's Tank"
"36","Mattikere","0","0",""
"37","Yeshwanthpura","0","0",""
"38","HMT Ward","0","0",""
"39","Chokkasandra","1","63616","Dasarahalli"
"40","Dodda Bidarakallu","3","227210","Lingadeeranahalli,Handrahalli,Doddabidarak allu"
"41","Peenya Industrial Area","2","269105","Narasappanahalli,Nallakadirenahalli"
"42","Lakshmi Devi Nagar","0","0",""
"43","Nandini Layout","0","0",""
"44","Marappana Palya","0","0",""
"45","Malleshwaram","0","0",""
"46","Jayachamarajendra Nagar","0","0",""
"47","Devara Jeevanahalli","0","0",""
"48","Muneshwara Nagar","0","0",""
"49","Lingarajapura","0","0",""
"50","Benniganahalli","1","28748","B Channasandra"
"51","Vijnanapura","0","0",""
"52","KR Puram","3","332124","Kavudenahalli,Vengaiah / K.R.Puram,Bhattarahalli"
"53","Basavanapura","3","206069","Dyavasandra,Basavanapura,Seegehalli"
"54","Hudi","3","296464","Sadara mangala,Hoodi Kere -2,Jimkenahalli"
"55","Devasandra","4","138527","Mahadevapura,Gangashetty Kere,Vijanapura,Vijinapura - 42"
"56","A Narayanapura","2","141307","B Narayanapura,KR Puram ( BEML Kere)"
"57","C.V. Raman Nagar","1","143548","Kaggadasapura"
"58","New Tippa Sandra","1","28811","Kelegena Byrasandra"
"59","Maruthi Seva Nagar","1","46330","Byappanahalli"
"60","Sagayara Puram","0","0",""
"61","SK Garden","0","0",""
"62","Ramaswamy Palya","0","0",""
"63","Jaya Mahal","0","0",""
"64","Raj Mahal Guttahalli","0","0",""
"65","Kadu Malleshwar Ward","0","0",""
"66","Subramanya Nagar","0","0",""
"67","Nagapura","0","0",""
"68","Mahalakshmipuram","0","0",""
"69","Laggere","0","0",""
"70","Rajagopal Nagar","0","0",""
"71","Hegganahalli","0","0",""
"72","Herohalli","3","362593","Mallathahalli,Vishwanedum,Herohalli"
"73","Kottegepalya","1","12508","Nagarabhavi"
"74","Shakthi Ganapathi Nagar","1","35048","Shivanahalli (Agrahara Dasarahalli)"
"75","Shankar Matt","0","0",""
"76","Gayithri Nagar","0","0",""
"77","Dattatreya Temple Ward","0","0",""
"78","Pulakeshi Nagar","0","0",""
"79","Sarvagna Nagar","1","58784","Kadirena Palya (Binnamangala)"
"80","Hoysala Nagar","0","0",""
"81","Vijnana Nagar","2","246964","Vibhuthipura,Mahadevapura"
"82","Garudachar palya","4","193053","Pattandur agrahara Kere - 124,Garudacharpalya ( Gopala),Hoodi (Giddanakere),Garudacharpalya ( Achanakere)"
"83","Kadugodi","1","40073","Pattandur agrahara Kere - 54"
"84","Hagadur","3","250263","Siddapura,Sheelavanthana Kere,Nallurahalli"
"85","Dodda Nekkundi","5","695188","Munnekolala,Chinnappanahalli,Kundalahalli, Doddanekkundi,Sonnenahalli"
"86","Marathahalli","0","0",""
"87","HAL Airport","0","0",""
"88","Jeevanbhima Nagar","0","0",""
"89","Jogupalya","0","0",""
"90","Halsoor","1","438884","Ulsoor"
"91","Bharathi Nagar","0","0",""
"92","Shivaji Nagar","0","0",""
"93","Vasanth Nagar","0","0",""
"94","Gandhi Nagar","0","0",""
"95","Subhash Nagar","0","0",""
"96","Okalipuram","0","0",""
"97","Dayananda Nagar","0","0",""
"98","Prakash Nagar","0","0",""
"99","Rajaji Nagar","0","0",""
"100","Basaveshwara Nagar","1","62606","Sane guruvanahalli"
"101","Kamakshipalya","1","11822","Kamakshi Palya"
"102","Vrisahbhavathi Nagar","0","0",""
"103","Kaveripura","1","23481","Malagala"
"104","Govindaraja Nagar","0","0",""
"105","Agrahara Dasarahalli","0","0",""
"106","Dr.Raj Kumar Ward","0","0",""
"107","Shiva Nagar","0","0",""
"108","Sri Rama Mandir Ward","0","0",""
"109","Chickpete","0","0",""
"110","Sampangiram Nagar","0","0",""
"111","Shantala Nagar","0","0",""
"112","Domlur","0","0",""
"113","Konena Agrahara","1","34340","Konena agrahara"
"114","Agaram","0","0",""
"115","Vannar Pet","0","0",""
"116","Nilasandra","0","0",""
