"Image of the issue","Address/landmark/house number","Ward name/number","Date of recording the image","Time of recording the image","Observations","Latitude","Longitude","LatLngs","Type","Entry Type"
"http://mapunitygroups.com//uploads/tmp/1473912956-2259-2787/1473912810173.jpg","92 Kothnur Cross","Sri Raghavendra Layout","15/09/2016","09:45","Never gets cleared","12.882775757117333","77.59062353521585","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473922493-2259-8202/1473922389394.jpg","Margosa Road,  between 13th and 15th cross opp Pragathi Mansion","Kadumalleshwara","15/09/2016","12:25","Gets cleared but comes back, This is mainly leaf litter","13.00490206268083","77.56925135850906","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473923287-2259-5532/1473923229296.jpg","between 11th & 12th cross,  Margosa Road","Kadumalleshwara","15/09/2016","12:35","Gets cleared but comes back","13.001621554902053","77.56938379257917","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473923763-2259-7165/1473923663747.jpg","Between 8th & 9th cross, Opp Sudarshan Silks, Margosa Road","Kadumalleshwara","15/09/2016","12:45","BBMP/ sweepers dump waste here, Gets cleared but comes back, This is mainly leaf litter","12.999405668553695","77.56940826773643","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1473937576-2259-1125/1473937540829.jpg","12th cross Margosa Road","Kadumalleshwara","15/09/2016","16:35","BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here","13.00275938182204","77.56933383643627","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1474003004-2259-7959/1474002934545.jpg","Before Richmond Road/Palmgrove road","Shantalanagar","16/09/2016","10:45","BBMP/ sweepers dump waste here, Gets cleared but comes back, BBMP auto/pushcart is parked here","12.966624379419846","77.61382095515728","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1474003420-2259-5655/1474003380257.jpg","Viveknagar","not sure","16/09/2016","10:00","BBMP/ sweepers dump waste here, Gets cleared but comes back","12.954693987500656","77.62119468301535","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1474003638-2259-2867/1474003593365.jpg","Ejipura Main Road","Ejipura-148/Agaram-114","16/09/2016","10:00","BBMP/ sweepers dump waste here, Gets cleared but comes back, Garbage is burnt here regularly, This is a ward boundary area","12.949472913461598","77.62705262750387","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1474003736-2259-9950/1474003703861.jpg","Ejipura Main road","not sure","16/09/2016","10:00","BBMP/ sweepers dump waste here, Gets cleared but comes back","12.94556822747863","77.62958899140358","","point","Original"
"http://mapunitygroups.com//uploads/tmp/1474018689-2259-6074/1474018653602.jpg","Srinivagilu Main Road","not sure","16/08/2016","15:07","","","","12.945054568836497, 77.61940129101276, 12.944590249267566, 77.62006413191557, 12.94558064415026, 77.61893458664417","polygon","Original"
